,BidPrice-Stock,BidVolume-Stock,AskPrice-Stock,AskVolume-Stock,TimeToExpiry,BidPrice-P60,BidVolume-P60,AskPrice-P60,AskVolume-P60,BidPrice-P70,BidVolume-P70,AskPrice-P70,AskVolume-P70,BidPrice-P80,BidVolume-P80,AskPrice-P80,AskVolume-P80,BidPrice-C60,BidVolume-C60,AskPrice-C60,AskVolume-C60,BidPrice-C70,BidVolume-C70,AskPrice-C70,AskVolume-C70,BidPrice-C80,BidVolume-C80,AskPrice-C80,AskVolume-C80
01/01/2018 01:05,70.7,139,70.95,130,0.911510654,1.33,23,1.39,26,4.99,16,5.09,16,11.4,19,11.52,19,12.08,22,12.22,21,5.69,22,5.83,23,2.17,14,2.26,15
01/01/2018 01:10,70.75,153,71,136,0.911501142,1.3,22,1.37,27,4.97,18,5.08,21,11.38,21,11.51,20,12.11,20,12.24,20,5.72,22,5.85,22,2.2,13,2.28,13
01/01/2018 01:15,70.8,156,71,144,0.911491629,1.28,19,1.35,24,4.92,19,5.02,22,11.33,23,11.44,22,12.13,20,12.25,20,5.78,22,5.91,23,2.27,14,2.36,13
01/01/2018 01:20,70.75,142,71,137,0.911482116,1.3,23,1.36,24,4.96,20,5.07,20,11.37,20,11.48,25,12.05,22,12.16,21,5.71,27,5.83,26,2.23,14,2.32,13
01/01/2018 01:25,70.75,144,71,131,0.911472603,1.29,23,1.36,22,4.91,20,5.01,21,11.33,20,11.45,24,12.04,19,12.16,20,5.73,26,5.85,24,2.25,14,2.35,13
01/01/2018 01:30,70.65,136,70.9,131,0.91146309,1.32,24,1.38,21,4.94,23,5.04,21,11.48,20,11.59,24,11.97,19,12.07,18,5.68,25,5.79,26,2.26,14,2.34,13
01/01/2018 01:35,70.65,136,70.9,126,0.911453577,1.31,23,1.37,21,4.92,25,5.02,23,11.42,18,11.53,23,12.03,18,12.13,18,5.71,25,5.82,24,2.25,16,2.33,13
01/01/2018 01:40,70.65,129,70.9,124,0.911444064,1.33,24,1.38,23,4.99,26,5.1,23,11.45,17,11.56,20,12.04,17,12.14,20,5.69,22,5.79,24,2.22,17,2.3,14
01/01/2018 01:45,70.6,125,70.8,132,0.911434551,1.33,24,1.39,24,5.01,23,5.11,24,11.5,19,11.61,23,11.94,17,12.04,18,5.63,21,5.74,23,2.2,19,2.29,16
01/01/2018 01:50,70.6,119,70.8,135,0.911425038,1.33,27,1.39,24,5.02,23,5.12,23,11.53,19,11.65,22,11.93,17,12.04,22,5.64,20,5.75,22,2.19,17,2.28,17
01/01/2018 01:55,70.6,133,70.8,117,0.911415525,1.33,23,1.39,23,5.02,25,5.12,19,11.56,19,11.67,22,11.94,16,12.04,19,5.64,20,5.76,23,2.15,21,2.24,18
01/01/2018 02:00,70.5,136,70.7,122,0.911406012,1.33,23,1.38,24,5.05,21,5.15,23,11.55,17,11.67,22,11.88,16,11.99,18,5.63,22,5.74,23,2.14,21,2.23,19
01/01/2018 02:05,70.5,133,70.7,125,0.911396499,1.34,25,1.4,25,5.04,22,5.14,24,11.58,16,11.7,22,11.79,15,11.9,19,5.59,23,5.71,20,2.15,20,2.25,19
01/01/2018 02:10,70.5,139,70.7,107,0.911386986,1.34,23,1.4,25,5.03,21,5.13,22,11.56,15,11.68,20,11.86,16,11.98,17,5.59,20,5.72,18,2.16,19,2.26,22
01/01/2018 02:15,70.45,145,70.65,109,0.911377473,1.3,21,1.36,22,4.98,16,5.09,20,11.59,16,11.72,20,11.87,16,11.99,17,5.57,21,5.69,21,2.14,20,2.24,21
01/01/2018 02:20,70.45,128,70.65,98,0.91136796,1.3,19,1.36,22,5,18,5.1,19,11.62,17,11.74,20,11.9,17,12.02,17,5.62,21,5.74,24,2.13,22,2.22,20
01/01/2018 02:25,70.4,124,70.6,95,0.911358447,1.35,19,1.41,23,5.07,19,5.17,23,11.72,18,11.84,20,11.81,18,11.92,18,5.62,22,5.73,21,2.09,20,2.18,19
01/01/2018 02:30,70.4,107,70.6,93,0.911348935,1.35,20,1.41,24,5.09,19,5.19,21,11.73,18,11.85,21,11.82,18,11.94,17,5.63,21,5.75,23,2.09,23,2.18,21
01/01/2018 02:35,70.45,94,70.65,86,0.911339422,1.36,19,1.42,26,5.08,17,5.18,21,11.67,19,11.79,20,11.88,16,11.99,18,5.65,21,5.76,21,2.13,21,2.21,20
01/01/2018 02:40,70.45,91,70.65,89,0.911329909,1.35,21,1.42,24,5.05,18,5.14,20,11.66,20,11.78,21,11.86,16,11.97,16,5.6,20,5.7,17,2.1,23,2.19,20
01/01/2018 02:45,70.45,104,70.7,83,0.911320396,1.32,25,1.39,27,5.01,19,5.11,20,11.61,21,11.73,17,11.83,15,11.94,14,5.64,19,5.74,18,2.11,23,2.2,19
01/01/2018 02:50,70.45,99,70.7,86,0.911310883,1.32,26,1.39,24,4.98,20,5.07,22,11.57,20,11.69,17,11.83,15,11.93,15,5.65,18,5.75,17,2.11,24,2.2,19
01/01/2018 02:55,70.5,91,70.7,87,0.91130137,1.3,25,1.37,24,4.95,21,5.04,21,11.56,20,11.68,19,11.87,15,11.96,16,5.68,16,5.78,17,2.13,24,2.21,19
01/01/2018 03:00,70.55,89,70.75,77,0.911291857,1.29,21,1.36,21,4.93,23,5.02,23,11.58,20,11.7,18,11.89,14,11.99,16,5.64,17,5.74,17,2.1,22,2.18,19
01/01/2018 03:05,70.55,85,70.75,76,0.911282344,1.29,20,1.36,19,4.94,25,5.02,23,11.57,19,11.69,16,11.91,14,12.01,17,5.65,17,5.75,18,2.16,23,2.24,20
01/01/2018 03:10,70.5,87,70.75,82,0.911272831,1.29,23,1.35,19,4.92,25,5.01,24,11.57,19,11.69,17,11.86,14,11.96,17,5.69,16,5.78,18,2.14,21,2.22,20
01/01/2018 03:15,70.5,89,70.7,80,0.911263318,1.3,23,1.36,21,4.9,24,4.98,24,11.57,21,11.69,20,11.85,15,11.95,16,5.67,18,5.76,18,2.18,22,2.25,24
01/01/2018 03:20,70.5,80,70.7,77,0.911253805,1.32,24,1.38,21,4.92,26,5.01,25,11.55,22,11.67,20,11.89,16,11.99,16,5.69,19,5.79,19,2.16,21,2.24,20
01/01/2018 03:25,70.35,82,70.6,82,0.911244292,1.35,25,1.41,22,4.99,27,5.07,25,11.61,24,11.73,20,11.81,16,11.91,16,5.57,20,5.67,21,2.13,23,2.2,21
01/01/2018 03:30,70.4,92,70.6,83,0.911234779,1.36,26,1.42,21,4.97,26,5.06,24,11.67,23,11.79,19,11.8,15,11.9,16,5.6,19,5.7,21,2.12,24,2.19,22
01/01/2018 03:35,70.45,102,70.65,90,0.911225266,1.34,23,1.39,20,5.02,24,5.09,25,11.62,22,11.73,20,11.85,16,11.95,15,5.58,21,5.68,22,2.14,24,2.21,20
01/01/2018 03:40,70.5,109,70.7,92,0.911215753,1.33,22,1.38,20,4.98,24,5.06,23,11.57,22,11.68,19,11.94,16,12.04,15,5.64,21,5.73,22,2.18,22,2.25,19
01/01/2018 03:45,70.4,108,70.6,88,0.91120624,1.33,23,1.39,20,5.03,20,5.11,23,11.56,21,11.67,18,11.93,15,12.03,17,5.59,21,5.69,24,2.14,19,2.22,19
01/01/2018 03:50,70.4,115,70.6,93,0.911196728,1.37,23,1.43,19,5.09,19,5.18,24,11.62,20,11.73,17,11.89,17,11.99,17,5.51,20,5.61,22,2.08,20,2.16,21
01/01/2018 03:55,70.4,101,70.6,100,0.911187215,1.38,24,1.45,20,5.01,21,5.09,22,11.58,20,11.68,18,11.89,17,11.99,15,5.45,22,5.55,24,2.13,20,2.21,21
01/01/2018 04:00,70.4,104,70.6,124,0.911177702,1.39,23,1.45,19,5.02,20,5.1,20,11.61,20,11.71,19,11.83,17,11.93,18,5.48,20,5.57,23,2.09,18,2.18,22
01/01/2018 04:05,70.45,105,70.6,138,0.911168189,1.38,22,1.44,16,5.06,20,5.13,21,11.61,18,11.71,18,11.85,17,11.95,19,5.47,22,5.56,23,2.14,18,2.22,23
01/01/2018 04:10,70.35,108,70.55,125,0.911158676,1.37,20,1.42,15,5.1,19,5.18,22,11.7,18,11.8,17,11.82,16,11.92,19,5.46,21,5.54,23,2.18,18,2.27,21
01/01/2018 04:15,70.4,104,70.6,119,0.911149163,1.32,22,1.37,17,5.05,20,5.13,22,11.63,17,11.73,20,11.85,15,11.96,18,5.5,23,5.59,23,2.2,19,2.29,23
01/01/2018 04:20,70.45,103,70.7,127,0.91113965,1.35,21,1.4,20,5.02,20,5.11,19,11.63,18,11.74,18,11.86,16,11.97,19,5.5,22,5.61,24,2.16,19,2.25,25
01/01/2018 04:25,70.55,96,70.8,101,0.911130137,1.32,21,1.38,20,5.04,21,5.13,21,11.54,17,11.65,18,11.93,17,12.05,19,5.56,23,5.66,22,2.17,21,2.26,25
01/01/2018 04:30,70.5,96,70.7,98,0.911120624,1.32,21,1.38,23,5.05,23,5.14,19,11.62,18,11.73,16,11.89,19,12,21,5.59,24,5.69,25,2.16,21,2.25,26
01/01/2018 04:35,70.55,90,70.8,90,0.911111111,1.3,21,1.35,25,4.99,22,5.09,19,11.56,17,11.67,17,11.93,19,12.04,19,5.63,26,5.74,22,2.19,19,2.28,27
01/01/2018 04:40,70.6,94,70.85,77,0.911101598,1.29,21,1.34,23,4.99,19,5.08,19,11.56,17,11.66,18,11.96,18,12.06,17,5.63,24,5.73,19,2.2,19,2.29,26
01/01/2018 04:45,70.6,85,70.8,79,0.911092085,1.32,24,1.37,23,4.95,17,5.03,17,11.52,20,11.62,19,11.99,18,12.1,16,5.64,25,5.75,22,2.18,19,2.27,27
01/01/2018 04:50,70.6,95,70.8,93,0.911082572,1.33,24,1.38,24,4.97,15,5.06,17,11.56,21,11.66,19,12,17,12.11,17,5.68,23,5.78,24,2.19,18,2.28,24
01/01/2018 04:55,70.55,92,70.75,85,0.911073059,1.34,23,1.39,21,5.05,17,5.14,16,11.64,20,11.75,18,11.93,16,12.04,18,5.62,25,5.73,23,2.16,18,2.25,23
01/01/2018 05:00,70.55,99,70.75,88,0.911063546,1.31,22,1.36,22,5.05,18,5.13,16,11.63,20,11.73,16,11.94,16,12.05,16,5.67,23,5.77,22,2.14,19,2.22,22
01/01/2018 05:05,70.5,93,70.75,86,0.911054033,1.31,22,1.36,23,5.03,19,5.12,17,11.63,21,11.73,15,11.93,16,12.04,15,5.62,24,5.71,22,2.15,20,2.24,24
01/01/2018 05:10,70.5,98,70.7,82,0.911044521,1.34,23,1.4,22,5.04,19,5.12,16,11.6,18,11.71,16,11.9,15,12.01,18,5.55,22,5.66,21,2.16,20,2.26,23
01/01/2018 05:15,70.5,97,70.7,74,0.911035008,1.34,22,1.39,21,4.99,21,5.08,17,11.62,17,11.72,16,11.87,17,11.98,21,5.53,22,5.64,22,2.15,21,2.24,23
01/01/2018 05:20,70.5,97,70.75,85,0.911025495,1.34,22,1.39,20,5.03,23,5.12,17,11.56,19,11.67,17,11.91,18,12.02,21,5.59,21,5.71,21,2.14,20,2.24,22
01/01/2018 05:25,70.45,106,70.7,84,0.911015982,1.32,21,1.37,20,5.04,21,5.13,15,11.6,18,11.71,21,11.86,18,11.98,20,5.57,20,5.69,23,2.13,21,2.22,24
01/01/2018 05:30,70.55,97,70.8,85,0.911006469,1.28,25,1.34,22,4.97,22,5.07,15,11.49,18,11.6,22,11.97,16,12.09,18,5.64,21,5.75,22,2.18,20,2.27,22
01/01/2018 05:35,70.5,86,70.7,82,0.910996956,1.29,22,1.35,21,4.96,21,5.06,14,11.52,18,11.63,22,11.93,17,12.05,17,5.61,20,5.71,24,2.19,21,2.29,21
01/01/2018 05:40,70.45,87,70.7,87,0.910987443,1.28,21,1.33,22,4.95,19,5.04,15,11.53,20,11.64,19,11.9,20,12.03,17,5.59,20,5.69,21,2.12,18,2.22,19
01/01/2018 05:45,70.5,90,70.75,86,0.91097793,1.29,23,1.34,22,4.96,18,5.05,15,11.46,20,11.58,20,11.97,20,12.1,19,5.65,21,5.75,19,2.17,17,2.26,18
01/01/2018 05:50,70.55,88,70.75,83,0.910968417,1.27,31,1.33,23,4.96,18,5.06,16,11.46,20,11.57,18,11.97,20,12.09,18,5.66,23,5.76,19,2.19,20,2.28,21
01/01/2018 05:55,70.55,88,70.75,84,0.910958904,1.29,28,1.35,23,4.94,17,5.03,16,11.44,18,11.55,20,11.99,19,12.11,18,5.67,24,5.77,19,2.22,24,2.32,20
01/01/2018 06:00,70.65,91,70.85,91,0.910949391,1.26,28,1.32,28,4.94,16,5.03,17,11.37,20,11.47,21,12.07,20,12.18,19,5.68,24,5.77,20,2.26,26,2.35,19
01/01/2018 06:05,70.65,82,70.85,85,0.910939878,1.26,29,1.31,29,4.9,14,5,16,11.37,21,11.48,20,12.08,20,12.19,21,5.67,24,5.77,20,2.25,23,2.36,20
01/01/2018 06:10,70.7,79,70.9,73,0.910930365,1.27,30,1.32,29,4.92,14,5.01,15,11.41,20,11.52,21,12.07,20,12.17,20,5.67,20,5.76,18,2.27,25,2.37,21
01/01/2018 06:15,70.7,92,70.95,79,0.910920852,1.23,29,1.29,27,4.89,15,4.98,16,11.42,21,11.53,21,12.04,18,12.15,20,5.66,18,5.76,18,2.27,23,2.36,20
01/01/2018 06:20,70.75,87,70.95,85,0.910911339,1.24,29,1.29,26,4.84,15,4.93,16,11.37,22,11.47,20,12.08,17,12.18,22,5.69,15,5.79,18,2.28,23,2.37,22
01/01/2018 06:25,70.65,115,70.9,86,0.910901826,1.26,26,1.31,26,4.88,15,4.97,16,11.44,21,11.54,22,12,18,12.11,19,5.69,14,5.79,20,2.21,24,2.29,21
01/01/2018 06:30,70.65,106,70.85,91,0.910892314,1.3,31,1.36,22,4.91,17,5,16,11.47,20,11.58,26,12,19,12.11,20,5.64,16,5.75,22,2.18,26,2.27,22
01/01/2018 06:35,70.7,92,70.95,96,0.910882801,1.27,28,1.33,19,4.9,18,5,19,11.51,19,11.62,26,12.04,19,12.16,17,5.62,20,5.72,21,2.16,24,2.25,23
01/01/2018 06:40,70.7,99,70.9,105,0.910873288,1.28,24,1.33,18,4.91,23,5,20,11.43,23,11.54,28,12.07,19,12.18,15,5.7,20,5.8,19,2.17,25,2.26,23
01/01/2018 06:45,70.7,123,70.9,130,0.910863775,1.27,23,1.32,20,4.96,23,5.06,21,11.52,25,11.62,24,12.02,19,12.12,13,5.69,18,5.79,19,2.13,23,2.21,22
01/01/2018 06:50,70.7,114,70.9,136,0.910854262,1.29,20,1.34,19,4.93,23,5.02,20,11.5,25,11.61,24,12.01,20,12.11,13,5.68,19,5.79,20,2.13,23,2.21,24
01/01/2018 06:55,70.75,98,70.95,134,0.910844749,1.3,21,1.35,19,5,21,5.1,18,11.45,25,11.56,23,12.04,20,12.15,15,5.72,19,5.83,20,2.18,23,2.25,23
01/01/2018 07:00,70.65,102,70.9,124,0.910835236,1.3,21,1.35,18,4.98,21,5.07,19,11.44,24,11.54,23,12.03,19,12.13,16,5.67,17,5.77,19,2.18,23,2.25,22
01/01/2018 07:05,70.7,111,70.9,109,0.910825723,1.28,21,1.33,17,4.99,18,5.09,17,11.46,22,11.56,23,12.05,19,12.15,19,5.75,18,5.85,19,2.18,21,2.25,21
01/01/2018 07:10,70.6,115,70.8,106,0.91081621,1.29,20,1.34,17,5,20,5.09,16,11.56,22,11.65,20,11.96,19,12.05,20,5.71,17,5.81,22,2.21,21,2.28,22
01/01/2018 07:15,70.6,108,70.8,106,0.910806697,1.27,22,1.32,18,5,18,5.09,16,11.51,20,11.6,22,11.96,20,12.05,19,5.7,17,5.79,18,2.17,24,2.24,21
01/01/2018 07:20,70.6,108,70.75,113,0.910797184,1.27,25,1.32,20,5.02,18,5.11,16,11.56,21,11.66,21,11.92,20,12.01,20,5.65,19,5.74,19,2.18,23,2.24,21
01/01/2018 07:25,70.6,109,70.8,110,0.910787671,1.32,21,1.37,20,4.99,18,5.08,16,11.52,20,11.61,20,11.94,22,12.04,25,5.64,19,5.74,20,2.17,25,2.24,22
01/01/2018 07:30,70.6,110,70.8,107,0.910778158,1.34,21,1.39,24,4.96,17,5.06,18,11.5,20,11.6,20,11.93,24,12.03,27,5.62,20,5.73,21,2.26,23,2.34,22
01/01/2018 07:35,70.65,110,70.85,110,0.910768645,1.33,19,1.38,21,4.91,17,5.01,16,11.48,20,11.58,23,11.97,24,12.07,25,5.64,21,5.75,22,2.26,25,2.34,24
01/01/2018 07:40,70.65,118,70.85,126,0.910759132,1.34,20,1.39,20,4.96,17,5.06,18,11.47,19,11.57,23,11.96,24,12.06,22,5.68,20,5.8,22,2.25,25,2.33,22
01/01/2018 07:45,70.65,126,70.85,117,0.910749619,1.35,20,1.4,20,4.98,19,5.08,23,11.44,18,11.53,22,11.94,24,12.04,21,5.74,19,5.85,22,2.24,29,2.31,22
01/01/2018 07:50,70.6,133,70.8,110,0.910740107,1.35,22,1.4,21,4.99,18,5.08,23,11.47,19,11.57,22,11.97,25,12.06,19,5.79,22,5.91,22,2.25,35,2.33,25
01/01/2018 07:55,70.6,139,70.85,103,0.910730594,1.32,21,1.37,20,4.99,21,5.09,22,11.46,16,11.56,21,11.99,28,12.08,22,5.76,21,5.88,20,2.29,31,2.36,25
01/01/2018 08:00,70.65,144,70.85,105,0.910721081,1.29,19,1.34,21,4.97,22,5.06,23,11.46,15,11.55,20,12.05,27,12.15,20,5.73,23,5.85,21,2.31,31,2.38,22
01/01/2018 08:05,70.65,137,70.85,116,0.910711568,1.29,19,1.34,23,4.95,22,5.04,26,11.5,15,11.59,19,11.99,28,12.08,20,5.71,23,5.83,23,2.27,29,2.35,23
01/01/2018 08:10,70.6,145,70.85,144,0.910702055,1.28,19,1.33,23,4.98,22,5.07,26,11.53,15,11.63,20,11.94,21,12.04,16,5.65,21,5.77,23,2.24,27,2.32,22
01/01/2018 08:15,70.6,155,70.85,149,0.910692542,1.29,19,1.34,23,4.94,22,5.03,26,11.55,17,11.64,24,11.95,22,12.04,16,5.69,22,5.8,22,2.18,28,2.26,22
01/01/2018 08:20,70.65,153,70.85,163,0.910683029,1.3,19,1.35,23,4.95,24,5.04,28,11.49,17,11.58,24,11.95,22,12.03,18,5.69,22,5.79,23,2.17,28,2.25,22
01/01/2018 08:25,70.65,170,70.9,150,0.910673516,1.31,16,1.36,22,4.92,24,5.01,26,11.46,15,11.55,26,11.99,23,12.07,18,5.7,21,5.8,21,2.19,27,2.26,21
01/01/2018 08:30,70.7,176,70.95,140,0.910664003,1.3,18,1.34,24,4.91,22,4.99,24,11.42,14,11.51,27,12.05,22,12.13,18,5.77,21,5.87,23,2.22,27,2.29,22
01/01/2018 08:35,70.7,150,70.95,125,0.91065449,1.28,18,1.32,23,4.95,23,5.04,21,11.46,17,11.55,23,12.05,21,12.13,18,5.74,22,5.84,24,2.21,25,2.29,24
01/01/2018 08:40,70.65,145,70.85,114,0.910644977,1.25,17,1.3,20,5,24,5.08,21,11.46,20,11.54,21,12.03,22,12.11,17,5.74,19,5.83,21,2.25,24,2.32,21
01/01/2018 08:45,70.6,150,70.85,116,0.910635464,1.27,16,1.31,21,5.04,22,5.12,20,11.51,18,11.6,23,12.02,23,12.1,16,5.71,21,5.8,24,2.23,25,2.3,21
01/01/2018 08:50,70.65,158,70.9,116,0.910625951,1.27,16,1.31,21,5.05,22,5.14,19,11.51,17,11.59,20,12.05,23,12.14,18,5.69,19,5.77,24,2.24,25,2.31,20
01/01/2018 08:55,70.6,147,70.85,113,0.910616438,1.37,107,1.42,22,5.16,117,5.24,19,11.69,120,11.77,18,12.17,147,12.25,18,5.84,113,5.93,25,2.4,161,2.47,22
01/01/2018 09:00,70.6,150,70.85,109,0.910606925,1.28,17,1.33,21,5.01,23,5.09,21,11.5,19,11.59,21,12,21,12.08,16,5.63,19,5.72,22,2.24,23,2.31,22
01/01/2018 09:05,70.5,153,70.75,101,0.910597412,1.3,16,1.36,23,4.99,23,5.07,18,11.54,20,11.63,20,11.91,21,12,17,5.61,18,5.7,23,2.18,25,2.25,23
01/01/2018 09:10,70.5,165,70.8,111,0.9105879,1.34,15,1.39,21,4.95,23,5.03,20,11.56,19,11.66,18,11.91,21,11.99,20,5.56,18,5.66,21,2.21,25,2.28,23
01/01/2018 09:15,70.45,130,70.75,103,0.910578387,1.37,16,1.43,20,4.99,24,5.07,20,11.55,18,11.65,18,11.87,23,11.96,21,5.59,17,5.69,19,2.22,23,2.29,22
01/01/2018 09:20,70.55,115,70.8,78,0.910568874,1.37,16,1.42,20,4.92,25,5,22,11.48,17,11.58,18,11.88,21,11.97,19,5.59,17,5.69,21,2.19,25,2.27,24
01/01/2018 09:25,70.55,115,70.85,84,0.910559361,1.34,15,1.4,17,4.9,24,4.98,25,11.44,18,11.54,19,11.95,21,12.04,20,5.62,17,5.73,21,2.28,22,2.37,24
01/01/2018 09:30,70.6,105,70.85,86,0.910549848,1.34,14,1.39,16,4.9,22,4.98,25,11.46,17,11.56,18,11.98,20,12.07,20,5.61,20,5.71,19,2.3,25,2.38,25
01/01/2018 09:35,70.6,106,70.9,86,0.910540335,1.33,14,1.38,16,4.93,22,5.01,24,11.42,15,11.52,16,12.03,20,12.12,19,5.63,20,5.73,19,2.34,24,2.42,24
01/01/2018 09:40,70.65,107,70.95,85,0.910530822,1.33,15,1.38,16,4.92,22,5,25,11.41,17,11.52,15,12.08,18,12.17,23,5.66,21,5.75,18,2.35,26,2.43,22
01/01/2018 09:45,70.7,127,70.95,94,0.910521309,1.3,17,1.35,17,4.94,24,5.02,23,11.41,15,11.52,15,12.07,19,12.17,22,5.66,21,5.75,17,2.31,26,2.39,21
01/01/2018 09:50,70.6,113,70.9,107,0.910511796,1.34,15,1.39,17,4.98,25,5.07,21,11.49,15,11.59,15,11.97,19,12.07,22,5.63,21,5.72,18,2.22,24,2.3,21
01/01/2018 09:55,70.65,118,70.95,111,0.910502283,1.34,15,1.39,15,4.93,22,5.01,18,11.46,15,11.56,14,12.03,18,12.12,19,5.69,19,5.79,19,2.26,23,2.34,18
01/01/2018 10:00,70.6,138,70.85,127,0.91049277,1.36,16,1.42,17,4.99,20,5.08,21,11.56,18,11.67,18,11.96,18,12.04,17,5.63,19,5.73,20,2.25,21,2.33,18
01/01/2018 10:05,70.55,136,70.8,149,0.910483257,1.35,19,1.4,17,4.98,20,5.06,19,11.57,17,11.67,19,11.96,19,12.04,17,5.67,18,5.76,19,2.24,18,2.32,18
01/01/2018 10:10,70.45,141,70.7,147,0.910473744,1.35,18,1.39,17,5.05,19,5.14,20,11.56,15,11.66,22,11.88,19,11.97,18,5.63,17,5.72,18,2.18,16,2.26,18
01/01/2018 10:15,70.45,140,70.7,119,0.910464231,1.34,16,1.39,16,5.05,20,5.13,18,11.57,17,11.68,23,11.88,18,11.97,16,5.61,18,5.71,20,2.15,14,2.23,18
01/01/2018 10:20,70.4,146,70.65,146,0.910454718,1.35,16,1.4,15,5.06,20,5.14,18,11.59,19,11.7,24,11.77,19,11.87,18,5.59,18,5.7,22,2.16,16,2.24,18
01/01/2018 10:25,70.45,163,70.7,154,0.910445205,1.38,17,1.43,15,5.02,20,5.11,21,11.57,20,11.69,22,11.84,18,11.94,18,5.63,18,5.73,19,2.15,18,2.24,17
01/01/2018 10:30,70.45,172,70.7,149,0.910435693,1.35,16,1.4,15,5.02,20,5.11,24,11.53,17,11.64,21,11.87,17,11.97,16,5.66,20,5.76,20,2.1,17,2.18,17
01/01/2018 10:35,70.4,163,70.65,162,0.91042618,1.34,15,1.39,14,5.02,20,5.1,23,11.6,20,11.71,23,11.81,17,11.9,16,5.59,17,5.69,19,2.13,16,2.2,17
01/01/2018 10:40,70.35,161,70.65,178,0.910416667,1.31,16,1.37,16,5.05,20,5.14,23,11.62,19,11.73,23,11.8,18,11.9,15,5.6,18,5.7,20,2.14,17,2.21,16
01/01/2018 10:45,70.3,174,70.6,190,0.910407154,1.31,15,1.37,16,5.07,20,5.15,24,11.58,19,11.69,21,11.81,17,11.9,14,5.56,18,5.67,21,2.14,16,2.22,14
01/01/2018 10:50,70.3,163,70.6,184,0.910397641,1.33,15,1.38,16,5.07,21,5.16,24,11.55,20,11.67,25,11.83,16,11.93,16,5.53,19,5.64,20,2.13,16,2.21,13
01/01/2018 10:55,70.25,172,70.6,199,0.910388128,1.35,16,1.4,16,5.07,18,5.15,23,11.57,19,11.69,22,11.79,19,11.9,17,5.52,17,5.63,20,2.19,15,2.27,14
01/01/2018 11:00,70.3,150,70.65,216,0.910378615,1.33,16,1.38,14,5.04,19,5.12,21,11.57,17,11.68,23,11.82,19,11.92,17,5.53,16,5.64,17,2.2,14,2.28,14
01/01/2018 11:05,70.3,145,70.6,219,0.910369102,1.34,16,1.39,14,5.05,17,5.14,20,11.55,18,11.66,25,11.82,22,11.92,17,5.52,15,5.63,17,2.18,15,2.25,15
